2024110617251.txt,"appreciation,unprecedented,powerful,greatest,overcame,","furious,obstacles,concession,concede,",-0.2
2024110621041.txt,"victory, strength, professionalism, tenacity, unifying, happy, wonderful, believe, favorite, nice, peace, believe, wonderful","losing, worst, abysmally, bad, ewwww, ick",-0.3
2024110620411.txt,successful,"concession, cancelled",-0.2
2024110620571.txt,"victory, improving, majority, gains, signal, correct, growing, strength, strides, accurate, increased, carried, improve, performance, gain, shift, victorious, unite, bonus, paid, critical, intense, advantage, advantage, helped, weaken, common-sense, modulate, decide, matter, down, vowing, decide, matter, down, vowing,","imperfect, incomplete, lose, defeated, adversary, gamble, reduced, negative, dominated, weaken, disappointed, outraged",-0.1
2024110620573.txt,"lively, honor, promises, average, hopes, aroused, supporters, majority, effective, improve, governance, nonprofit, mission, in-depth, nonpartisan, research, improve, policy, governance, global, latest,","challenged, impose, massive, raising, costs, conflict, uncertain, deport, blow, strife, backlash, fails, pay, price,",-0.3
2024110704572.txt,"proud, peaceful, support, advance, values, collaborative, free, fair, congratulate, victories, OK, win, important, better, possible, good, sound, well, strengths, protect, autonomy, resolute, peaceful, promise, bright, commitment, unity,","sad, disappointed, tears, impossible, unhappy, disagreements, concede, fight, contentious",+0.3
2024110623132.txt,"unified, remarkable, fresh, purpose, leading, advocate, concerted, effort, leaders, connections, serve, anticipated, catapulted, energized, eager, change, forward, meaningfully, differentiate, protecting, mission, entitled, gift, sharing, friends, family, subscribe, Copyright","flamed, limitations, languished, writing, overturned, odds, restless, unpopular, struggled, skeptical, unclear, impacts, fight",-0.1
2024110623443.txt,"remarkable,unified,purpose,advocate,concerted,leaders,enhanced,better,leaders","stumbled,badly,flamed,limitations,languished,writing,overturned,steep,restless,unpopular,skeptical,unclear,impacts",-0.3
2024110617251.txt,"appreciation, greatest, powerful, unprecedented,","furious, obstacles,",-0.1
2024110704577.txt,"wealthy, victory, support, faith, forward","disproportionate, strip, fire, distanced, unsuccessfully, critical, bribery, arrested, charge, guilty, embarrass, impossible",-0.1
2024110617292.txt,"thank, good, future, thank, admire, hope, thank, faith, admire, hope, touched, lives, please, trying, required, required, read, more","stuck, second, damage, injuries, criminal, responsible, stopped, defending, convicted, PLEASE, DON'T, BECOME, second, damage, injuries, criminal, responsible, stopped, defending, convicted",-0.2
2024110622201.txt,"gratitude,trust,love,resolve,proud,enthusiasm,joy,knowledge,common,peaceful,trust,democracy,justice,freedom,justice,engaged,congratulate,importance,peaceful","despair,defeated,lose,despair",+0.5
2024110617052.txt,"record, promised, high, victory, cheers, hero's, jubilant, victory, victory, opportunity, security, power","criticised, invasion, defeat, insult, subdued, fear",-0.1
2024110623081.txt,"better,pride,gratitude,congratulate,peaceful,respect,cherish,accept,democracy,distinguishes,trust,honor,loyalty,opportunity,fairness,dignity,freedom,opportunity,freedom,ambitions,aspirations,freedom","conceded,impassioned,losing,claimed,stolen,fraud,concede,sad,disappointed",-0.1
2024110707041.txt,"responsibly,grace,dignity,hope,best,freedom,dignity,aspirations,important,peaceful","resist,excuses,worst-case,doomed",+0.5
2024110619531.txt,"unifying, winner, congratulated, historic, strength, professionalism, tenacity, unifying, peaceful, victory, incredible, victory, extraordinary, honor, golden, fight, strong, safe, prosperous, deserve, deserve, Summa Cum Laude, honors,","concede, losing, painful, impacts, obstacles, crazy, fight,",+0.2
2024110704574.txt,"extraordinary,decisive,opportunities,success,leading,uniting,congratulations,","trouble,trouble,disappointed,criticism,fears,violence,",-0.1
2024110622202.txt,"peaceful, importance, strength, professionalism, tenacity, unifying, historic, commitment, smooth, emphasized, importance, together, historic, swiftly, coalesced, solidified, history, major, focus, reserved, reserved","chaotic, assassination, disastrous, roiled",+0.3
2024110619041.txt,"intelligent,trustworthy,peaceful,profound,foundational,alma mater,invited,top,remarkable,unified,extraordinary,swiftly,thank you,please,confirm,subscribe,","danger,rejection,anxiety,upheaval,danger,impeachments,felony,loss,bitter,violent,insurrection,threat,devastating,crystallized,struggling,stumbled,flamed out,limitations,",-0.3
2024110623444.txt,"relevant, relevant, use, use, directly, use,","less, less,",-0.2
2024110704575.txt,"beautiful,opportunity,trust,celebrated,victory,fundamental,historic,happy,focus,focus,loyal,","abrupt,accusation,accuse,accusingly,alarm,alienate,anger,animosity,annoy,annoying,anxiety,anxious,apprehension,arrogance,arrogant,ashamed,assail,assault,atrocity,audacious,austere,avarice,awful,awkward,backbite,backward,bad,baffle,barbaric,baseless,bash,battered,betray,bewilder,bias,blame,bleak,bloated,bloody,blunder,boastful,brash,breakdown,bribe,brutal,bully,bungle,burnt-out,busybody,callous,cancerous,careless,chaos,cheat,cheesy,choke,clumsy,coerce,collude,combat,complacent,complain,complicated,concede,conceited,conflict,confuse,confusion,contaminate,contempt,contradict,controversial,corrupt,crass,cringe,critical,criticism,criticize,cross,crude,cruel,crush,cry,cumbersome,cynical,danger,dangerous,dead,deadbeat,debacle,debilitate,deceit,deceive,decimated,decline,defamation,defeated,defensive,defiant,deficient,degrade,dehumanize,delusion,denial,depressed,depression,deprivation,despair,desperate,despicable,despise,destructive,detached,detest,devastate,dictator,difficult,dire,disappoint,disaster,disastrous,discomfort,discontent,disgrace,disgust,dishearten,disillusion,dislike,disloyal,dismal,dismay,disorder,disrespect,distress,disturbing,divisive,dominate,doom,drab,drain,drastic,dreadful,dreary,drunk,dubious,dull,dumb,dupe,egotistical,embarrass,emotionless,enemy,enrage,entrap,envious,erratic,escape,exasperate,exhaust,exploit,expose,fail,fake,falter,fanatic,farce,fat,fatal,faulty,fear,feeble,feign,filthy,flaky,fool,forbid,fragile,frantic,fraud,frustrate,futile,gall,gamble,gloomy,greedy,grief,grim,grotesque,gross,guilt,hard,hate,hated,hateful,havoc,helpless,hideous,hinder,hostile,humiliate,hurt,hysterical,idiotic,ignorant,illogical,immature,impatient,imperfect,impolite,impossible,inability,inaccurate,inadequate,inappropriate,incompetent,inconvenient,incredulous,indifference,indignant,infamous,inferior,inflict,insecure,insidious,insignificant,insult,insulting,intense,intimidate,irrational,irresponsible,isolated,jaded,jealous,jerk,joyless,kill,lack,lame,languish,lash,lazy,liar,loathe,lost,lousy,ludicrous,malicious,manipulate,mean,mediocre,mess,misery,mistake,mistrust,moody,moron,mourn,muddle,nag,negative,neglect,negligent,nervous,nightmare,noise,noisy,nonsense,numb,obnoxious,obsessive,obsolete,offend,offensive,oppressive,ostracize,outburst,outrage,overwhelmed,panic,paranoid,pathetic,perplex,petty,phobic,pitiful,pity,plague,pointless,poor,powerless,prejudice,pretentious,protest,pry,questionable,quirky,quitter,racist,radical,reckless,regret,rejection,relentless,remorse,repel,repress,reprimand,repulsive,resent,resentment,restrictive,revenge,ridicule,rigid,rotten,rude,ruin,rupture,sabotage,sad,sadden,savage,scandal,scapegoat,scorn,scoundrel,screaming,scum,scurry,serious,shame,shameless,shoddy,shortage,shunned,sick,sinister,sketchy,slander,slimy,sloppy,smear,smug,smut,spiteful,stress,stuck,stupid,subpar,subversive,suffer,superficial,suspicion,suspicious,taint,tarnish,tedious,tense,terrible,terrifying,threat,threaten,threatening,torment,torture,tragic,trapped,trash,trivial,ugly,unbearable,uncaring,uncomfortable,undermine,undesirable,unfair,unfavorable,unforgiving,unfortunate,unfriendly,ungrateful,unhappy,unhealthy,unimportant,unimpressive,unjust,unlucky,unnecessary,unpleasant,unpopular,unreasonable,unsatisfied,unscrupulous,unsure,untrustworthy,upset,useless,vengeful,venomous,vexing,violent,void,vulgar,warped,weary,whine,wicked,worried,worry,worthless,",+0.1
2024110622411.txt,"supporters,hope,alive,light,promise,bright,engage,peaceful,principle,distinguishes,democracy,trust,honor,top,gain,momentum,fundraising,juggernaut,victory,improving,resonate,supporters,fighting,democracy,rule,equal,justice,sacred,rights,freedoms,respected,upheld","disappointment,losing,defeat,refused,tyranny,defeat,race,misogyny",-0.1
2024110623082.txt,"win, important, better, power, possible, done, hope, successes, right, worth, faith, prouder, champion, valuable, powerful, deserving, opportunity, achieve, dreams, factual, fair, accountable, focus, graduate","loss, hurts, painful",+0.7
2024110615291.txt,"strongest,authoritative,expertise,comprehensive,leader,unmatched,highly-customised,unrivalled,insights,help","weaken,beleaguered,risks",+0.2
2024110704571.txt,"supporters, victory, victory, win, competitive, hopes, competitive, affable, gains, incumbent, good, power, power, beautiful, beautiful, popular, support, advance","defeated, indicted, convicted, felony, hush-money, pending, extremism, acrimonious, insults, barbs, threats, takeover, takeover, threatened, takeover, target, nightmare, murder, crime, shot, mugged, raped",-0.2
2024110621531.txt,"despair,violence,chaos,dark,sad,disappointed",+0.1
2024110621041.txt,"victory, strength, professionalism, tenacity, unifying, happy, wonderful, unite, peace, favorite,","losing, worst, abysmally, bad, ewwww, ick, wrong,",-0.3
2024110620411.txt,successful,"concession, cancelled",-0.1
2024110620571.txt,"victory, improving, majority, gains, signal, correct, strides, increased, carried, victorious, unite, bonus, paid, critical, intense, advantage, helped, common-sense, modulate, decide, vowing, longtime","negative, incomplete, lose, defeated, adversary, reduced, critical, intense, negative, dominated, weaken, disappointed, outraged",-0.1
2024110620573.txt,"lively, honor, promises, hopes, supporters, majority, effective, improve, governance, nonprofit, mission, in-depth, nonpartisan, research, improve, policy, governance, global, copyright","challenged, massive, costs, conflict, strife, backlash, fails, pay, price",-0.2
2024110704572.txt,"proud, peaceful, support, advance, priorities, values, collaborative, free, fair, congratulate, victories, OK, win, important, better, possible, good, sound, well, strengths, protect, autonomy, resolute, peaceful, promise, bright, commitment, unity, Americans, Democratic, focused, key, battleground","sad, disappointed, tears, impossible, unhappy, disagreements, concede, contentious",+0.3
2024110623132.txt,"unified, remarkable, purpose, leading, advocate, concerted, leaders, gift, friends, family, Copyright","limitations, flamed, languished, writing, overturned, steep, odds, restless, unpopular, skeptical, struggle, unclear",-0.1
2024110623442.txt,"optimism, OK, OK, praising, purpose, determination, joy, champion, leader, accurate, support, congratulate, peaceful, appreciated, committed, perfect, timely, amazing, better, victory,","danger, impeachments, felony, loss, sad, disappointed, tears, disappointment, unwillingness, obstacle, sad, violent, insurrection, interrupted, concerns, devastating, struggling,",-0.2
2024110623443.txt,"remarkable,unified,fate,purpose,advocate,concerted,connections,serve,energized,eager,change,forward,protecting,leaders,enhanced,better,experiences","stumbled,badly,flamed,limitations,languished,writing,overturned,steep,restless,unpopular,struggled,skeptical,unclear,impacts,finished,fight",-0.2
2024110704573.txt,"secure, historic, congratulated, importance, committed, smooth, progress, significant, peaceful, importance, winning,","negative, criminal, interference, issues, trial, appeal, lost, criminal,",-0.1
2024110620572.txt,"best,unifying,building,opportunity,opportunities,successful,enhance,competence,character,upside","plunged,negative,disapproval,abandoned,deprived,difficulties,flawed,angry,poor,danger,threats,charge,problems,spurned,unpopularity,refused,blurred,radical,dependent,afraid,tough,oblivious,defeat,recriminations,defeat",-0.8
2024110623593.txt,"dynamic, protection, rebuild, priorities, access, premium, improvements, proud, expanding, opportunities, services, investments, true, relief, attempt, forgiving, invited, celebration, leaders, advice, importance, facilitated, blessings, good, fortune, blessing, unique, best, requiring, lead, learned, broad, imagined, opportunity, opportunity, celebration, opportunity","stricter, paying, racial, gap, debt, owe, responsibility, requiring, stand, instead",+0.5
2024110619141.txt,"president, peaceful, historic, strength, professionalism, tenacity, unifying, first-rate, historic, impact, protecting, performance, relevant, enhanced, functionality, personalisation","concede, violent, unprecedented, painful, hard, battleground, not, moderated, edited, Bye, less, not, not, not, less, not, not, not",-0.2
20241107031010.txt,"freedom, star, power, victories, rights, advocates, rights, passed, approved, prevailed, stability, stability, role, role,","concession, restrictive, bans, defeated, inconsistent, insistence, issue, impact, concede, authoritarian, tensions,",+0.1
2024110710401.txt,"victory, supportive, confidence, better, inspire, right, decision, better, experience, extraordinary, loyal, trying, persuade, elect, trying","wreaked, havoc, cost, bums, foolish, wrong, inexact, blame, infirm, decline, absurd, disapproved, wrong, irregular, taken, conspiratorial, yahoos, incorrectly, shocking, debacle, untenable, rapidly, impossible, headwinds, unpopularity, weight, limitations, exposed",-0.4
2024110619592.txt,"functionality, security, effectiveness, improve, experience, insights, preferences, relevant, interests, share, enable, ability, relevant, preferences, manage, manage,","block, reject, impact,",-0.1
2024110700001.txt,"agile, joyful, energetic, thoughtful, easy, vocal, unapologetic, support, support, support,","tricky, crushingly, weary, unpopular, unwillingness, discomfort, vanity, odd, dissatisfied, tough, burdened,",-0.3
2024110520341.txt,"elevate,groundbreaking,legendary,clear,excited,qualified,hope,flawless,grew,crushed,even,groove,instinct,orderly,love","late,nervous,disappointed,fatalistic,let down,ignored,betrayed,bulletproof,assassination,untested,vanish,convicted,felon,relate,stunned",+0.2
2024110622471.txt,"acclaimed, amazing, appealing, appreciated, authentic, beautiful, beloved, bold, charismatic, confident, courageous, creative, credible, energetic, engaging, excellent, faithful, fearless, full, genuine, good, great, happy, healthy, hopeful, impressive, incredible, inspiring, joyful, kind, love, loved, loyal, meaningful, mighty, peaceful, proud, resolve, respectful, spirited, strong, supportive, talented, uplifting, victory, win, winner, wonderful, worthy, zealous, zestful","abrupt, accuse, accusation, afflict, afraid, alarm, anger, anguish, annihilate, anxiety, anxious, appall, appalling, ashamed, assail, assault, awful, awkward, bad, bash, battered, betray, bewilder, blame, bleak, bloody, brutal, bully, chaos, cheat, choke, clash, collapse, combat, complain, complicated, conflict, confuse, confusion, corrupt, critical, criticism, criticize, cross, cruel, crush, cry, cynical, danger, dangerous, dead, debacle, deceit, deceive, decline, defeat, defiant, defy, degrade, delusion, denial, depressed, depression, deprivation, despair, desperate, despicable, despise, destroy, destructive, detached, detest, devastate, difficult, dire, disappoint, disaster, disastrous, discomfort, discontent, disgrace, disgust, dishearten, disillusion, dislike, disloyal, dismal, dismay, disorder, disrespect, distress, disturbing, divisive, doom, drain, drastic, dreadful, dreary, dumb, dupe, embarrass, enemy, enrage, erratic, escape, exasperate, exhaust, exploit, expose, fail, fake, falter, fanatic, farce, fatal, fault, faulty, fear, feeble, feign, filthy, fool, forbid, fragile, frantic, fraud, frustrate, futile, gall, gamble, gloomy, grief, grim, grotesque, gross, guilt, hard, hate, hated, hateful, havoc, helpless, hideous, hinder, hostile, humiliate, hurt, hysterical, idiotic, ignorant, illogical, immature, impatient, imperfect, impolite, impossible, inability, inaccurate, inadequate, inappropriate, incompetent, inconvenient, incredulous, indifference, indignant, infamous, inferior, inflict, insecure, insidious, insignificant, insult, insulting, intense, intimidate, irrational, irresponsible, isolated, jaded, jealous, jerk, joyless, kill, lack, lame, languish, lash, lazy, liar, loathe, lost, lousy, ludicrous, malicious, manipulate, mean, mediocre, mess, misery, mistake, mistrust, moody, moron, mourn, muddle, nag, negative, neglect, negligent, nervous, nightmare, noise, noisy, nonsense, numb, obnoxious, obsessive, obsolete, offend, offensive, oppressive, ostracize, outburst, outrage, overwhelmed, panic, paranoid, pathetic, perplex, petty, phobic, pitiful, pity, plague, pointless, poor, powerless, prejudice, pretentious, protest, pry, questionable, quirky, quitter, racist, radical, reckless, regret, rejection, relentless, remorse, repel, repress, reprimand, repulsive, resent, resentment, restrictive, revenge, ridicule, rigid, rotten, rude, ruin, rupture, sabotage, sad, sadden, savage, scandal, scapegoat, scorn, scoundrel, screaming, scum, scurry, serious, shame, shameless, shoddy, shortage, shunned, sick, sinister, sketchy, slander, slimy, sloppy, smear, smug, smut, spiteful, stress, stuck, stupid, subpar, subversive, suffer, superficial, suspicion, suspicious, taint, tarnish, tedious, tense, terrible, terrifying, threat, threaten, threatening, torment, torture, tragic, trapped, trash, trivial, ugly, unbearable, uncaring, uncomfortable, undermine, undesirable, unfair, unfavorable, unforgiving, unfortunate, unfriendly, ungrateful, unhappy, unhealthy, unimportant, unimpressive, unjust, unlucky, unnecessary, unpleasant, unpopular, unreasonable, unsatisfied, unscrupulous, unsure, untrustworthy, upset, useless, vengeful, venomous, vexing, violent, void, vulgar, warped, weary, whine, wicked, worried, worry, worthless",-0.1
20241107031011.txt,"good, great,","fraud, harsh, crackdown, violence,",-0.3
2024110710402.txt,"capable, special, improvement, eagerly, star, best, useful,","cautious, mercenary, messy, tedious, deafening, rebuked, dead, dead, dead, dead, dead, tedious, mess, slashing,",-0.3
2024110710589.txt,"great, remarkable, hoped, peaceful, progress, good, grace, astonishing, gratitude, proud, opportunity, fairness, dignity, freedom","enmity, insulting, evil, sick, crazy, jabs, suffering, degeneration, struggles, headwinds, immune, shock, booed",-0.2
2024110619591.txt,"victory, peaceful, hopes, strength, professionalism, tenacity, unifying, victory, commitment, smooth, congratulate, congratulations,","concede,",+0.3
2024110621581.txt,"tears,despair,grim,refusal,lose,desperate,dark,dejected,dark,exodus,spoiling,painful,hard,impacts,blow,declined,",-0.1
2024110622063.txt,"incredibly, popular, strategic, critical, seriously, true, protection, support, support, support, persuadable, seriously, seriously, protection","loss, lost, war, disastrous, pain, alienation, powerful, unsurprising, bumps, disturbing, trouble, war, railed",-0.2
2024110710588.txt,"congratulations,congratulating,prosperity,respect,pray,bless,praised,free,victory,fit,smiling,mingling,historic,victory","protesters,falling,slammed,undemocratic,reboot,defaming,somber,defeated,tearful,weep,shocked",-0.1
2024110700002.txt,"improve, popular, relevant, necessary, enhanced, functionality, personalisation, preferences,",none,+0.2
2024110520342.txt,"acclaimed,accomplished,achievement,amazing,awesome,beautiful,believe,believed,brilliant,calm,capable,charismatic,cheerful,classic,comfortable,compassionate,confident,considerate,constructive,content,courageous,creative,credible,delightful,dependable,desirable,devoted,dignified,diligent,divine,dynamic,eager,earnest,easygoing,effective,effortless,elegant,elite,embrace,empower,energetic,engaging,enjoyable,enthusiastic,excellent,exceptional,exciting,exquisite,extraordinary,fabulous,faithful,fantastic,fascinating,favorite,fearless,flawless,flexible,flourish,fortunate,friendly,fun,generous,genius,genuine,gifted,glorious,good,graceful,gracious,grand,great,groundbreaking,happy,harmonious,healthy,heartfelt,heroic,honest,honorable,hopeful,ideal,immaculate,impressive,incredible,inspired,invincible,irresistible,joyful,jubilant,kind,knowledgeable,legendary,liberating,lively,lovable,lovely,loyal,luminous,majestic,masterful,meaningful,memorable,mighty,motivated,noble,nurturing,outstanding,passionate,peaceful,perfect,phenomenal,playful,poised,positive,powerful,praiseworthy,priceless,proactive,productive,prosperous,proud,radiant,reassuring,refreshing,reliable,remarkable,resilient,resourceful,respectful,rewarding,rich,romantic,satisfied,secure,sensational,serene,skilled,smart,special,spectacular,spirited,splendid,stellar,successful,superb,supportive,talented,terrific,thrilling,thriving,timeless,top-notch,trustworthy,unique,unstoppable,uplifting,valued,vibrant,victorious,virtuous,visionary,warm,wealthy,welcoming,well-being,wholehearted,wise,wonderful,worthy,zealous,zestful","skeptical,fear,doubt,inequities,secrecy",+0.7
2024110622472.txt,"brilliant,brilliant","challenges,dark,dark",-0.1
2024110623591.txt,"better, excellence, leadership, responsibility, reaching, serving, expansive, history, clear, opportunity, uplift, empowerment, comfort, renewal, meaningful, devotion, advancement, proud, grateful, success, embrace, truth, service, importance, speak, passion, justice, iconic, curiosity, spirit, standout, refining,",none,+1.0
2024110619231.txt,congratulations,conceded,-0.1
2024110701442.txt,"vision, strengths, advantage, massive, philanthropist, choice, democracy","waste, grievances, bureaucracy, weaknesses, issues, loss, burnish, insular, conformity, lost, tedious",-0.3
2024110703241.txt,"hope,joy,celebrate,electric","loss,disappointment",+0.2
2024110619594.txt,"interactive,smart,information,analytics,preferences,contact,legal,requirements,security,prevention,capabilities","vary,disable,remove,consequences,block",-0.2
2024110623152.txt,"enhanced, functionality, personalisation, preferences, services,","anonymous, monitor, targeted, block, alert,",-0.2
2024110620472.txt,"praise, polished, best, massive, massive, bigger, strategic, tactical, insurmountable, aligned, inevitable, unmistakable, overwhelming, victory, tough, choice, gigantic","wasted, distanced, nothing, doomed, suffering, rage, obstacle, flawed, inevitable, concerns, inflation, misogyny, hard, unpopular, destroyed, shrinking",-0.2
2024110701331.txt,"extraordinary, enthusiastic, warm, charismatic, huge, optimistic, freedom, resonate, effective,","anxious, distrust, irreconcilable, cynical, racism, misogyny, toxic, discomfort, recriminations, inability, exploit,",-0.2
2024110617382.txt,"remarkably, historic, congratulated, importance, uniting, victory, invited, express, plans, discuss, transition, updates, want, right,","convicted, felon, criminal, disastrous, forced, attacking, criticizing, inflation,",-0.1
2024110623594.txt,"exclusive, great, responsibility, potential, brighter, first, vision, self-belief, beloved, extraordinary, competence, commitment, best, lead, effort, responsibility, serving, experts, answer, reserved",none,+0.8
2024110703108.txt,"benefit,brilliant,optimism,faith,truth,service,freedom,work,win,important,better,future,dreams,ambitions,aspirations,democracy,help,engage,peaceful","crisis,dark,loss,hurt,concession,contours,fights,loss,concede,boos",-0.1
2024110701441.txt,"eager, strong, competitive, thoughtful, strong, genuine, functional, best, sincere, bolder,","lost, refuse, loss, misogyny, racism, refusal, struggles, flaw, drawbacks, uneven, problem, unmemorable, disastrous, maligning, declining,",-0.5
2024110622071.txt,conceded,-0.1
2024110701332.txt,"appeal, popular, huge, majority, needed, real, offering, addresses, appeal, exhausted","unwilling, unable, divisions, inequality, impossible, disavowing, nothing, wrong, recriminations, anger, failed, war, invasion, exhausted, wars, unwilling",-0.5
2024110617381.txt,"better,gratitude,love,peaceful,distinguishing,loyalty,strength,professionalism,tenacity,unifying,","despair,deflated,distressed,tyranny,stormed,decisive,defeat,shattered,unfit,threat,underperforming,insurmountable,",0.0
2024110620061.txt,"decisive, victory, historically, clear","conceding, hard-fought",-0.1
2024110703109.txt,"empowered, bright, upbeat, cheers, freedom, win, winner, hopeful, leaders, good","lost, conceding, forlorn, painful, pain, hard, unfathomably",-0.2
2024110701078.txt,"won,won,victories,strongholds,won,strongholds,easily,nation's","fatal,flaws,doomed",-0.1
2024110611272.txt,"emphasised, earning, sympathy, humanity, highlights, opportunity, alleviate, power, advocate, understanding, support, connect, listening, engagement, action, endorse,","dismiss, denigrate, worst, hurdles, questions, accused, challenges, compounded, sexism, misogyny, racism, loss, grapple, disenchanted, splintered, opposing, warned, costing, unfair, blame, defeated, backlash, isolated, difficult, restricting, critics, ban, fail, failures, lack, under-resourced, genocide,",-0.6
2024110703104.txt,"success,peaceful,cornerstone,responsibility,common,congratulated,sincere,congratulations,pray,","warned,protracted,critic,goal,ensure,contempt,questioning,delusional,fractured,grievances,concern,authoritarian,unchecked,concerned,upheaval,",0.0
2024110701075.txt,"congratulated, victory, commended, hopeful, gratifying, secure, warm, cordial, victory, well, congratulations, appreciate, commitment, strength, peace, closer, vindication, powerful, won,","bias, minority, defeat, partisan, threat, scandal, criminal, failed, dire, warnings, rejected, abandoned, insurrection, convicted, felon,",-0.1
2024110618281.txt,"victory, healthy, excellent, enjoy, miracle, joy, well, excellent, improved, pro-worker, affluent,","blamed, lazy, riling, decrying, wrong, corrosion, wrong, wrong, wrong, wrong, ungrateful, boneheaded, wrong, wrong, bogeyman, bad, flammable, blow, combustible, flames, angry, peeled, fury, worried",-0.3
2024110620291.txt,"decisively, compelling, justified, clean, disciplined, strong, appealing, meaningful","disaster, miserable, repugnant, misery, angry, failed, refused, terribly, complicated, flawed, mistakes, wrong, uncomfortable, crazy, alienated, dissatisfied, disliked",-0.5
20241107105814.txt,"peaceful,importance,represents",none,+0.2
2024110710583.txt,"excited, authentic, brilliant, powerful, important, genuine, complete, champion, strong, brilliantly, overwhelming, support, happier, commitment, support, great, accomplished,","dead, tired, destroying, enough, overwhelming, battleground,",+0.3
2024110622082.txt,"freedom, forward, motion, change, help, win, possible, insight, necessary, deserved, improve, performance, popular,","expensive, aggrieved, alienate, misogyny, racism, complicated, dire, blame, poison, grifter, fail, anemic, failure, suffer, hurt, wreckage, sacrifice, problem, vulnerable, wolves,",-0.5
2024110709561.txt,"victory, ideals, peaceful, promise, bright, freedom, thank, supporters, respect, benefit, strength, professionalism, tenacity, unifying, congratulated, historic, heal, work, bright","defeated, fighting, despair, insults, fascist, threat, dark, grief, sombre, hopeless, lost",-0.1
