Publication Date	Content
2024110617463	powerful essay on why her student loan debt made her a better leader, as opposed to a fiscally irresponsible one. She embodied the racial wealth gap that condemns Black Americans to what the sociologist Louise Seamster has called 'bad debt' - the debt we take on to earn our way out of poor economic opportunities. That looks like bad mortgages and upside-down car loans and, yes, student loans for the education we have to have to get our foot in the door. Admittedly, Abrams had to own this part of her political biography. She spent most of her childhood in the South. But if this country were to put a Southern Black woman with the shared experience of millions of working-class and aspirational Black Americans in the White House, her ascendancy would be a statement on this country's original sin. The sin that still animates housing segregation, school inequality, wage inequality and environmental racism. The idea of Abrams as president is merely an example of a different kind of campaign, on an alternate timeline, where being first could have given us a first worth voting for. Will more Black women run because of Kamala Harris? Almost definitely. Will more Black women win using Kamala Harris's playbook? I hope not. Black feminism - and especially the idea of intersectionality - became a pop culture cliche in the 2020s. But Harris took a more traditional second-wave feminist approach to her performance of womanhood. Her campaign did not challenge gender conventions so much as it selectively subverted some gender expectations (and left others intact) for her political benefit. She has this in common with Sarah Palin, another first who almost went the distance. I always believed that a conservative woman would be the first female president because of what social science says about gender and leadership. American voters demand compensating qualities - gun-toting, conventional attractiveness, religiosity - to accept a female president. Harris played that game, finessing that hybrid centrist conservative in a progressive package. That feels like a game plan for the many female candidates who will follow in her footsteps. It is less clear to me that Harris's game plan can ever actually work for a Black female candidate. For one thing, Black women cannot usurp Palin's gun-toting, America-first political shtick. Harris came close. On the trail, Harris (and Walz) talked about packing a gun the way women in politics were once expected to talk about packing their kids' school lunches. She also delighted in being tough on crime. By pivoting to the right, Harris bet that American voters trust female politicians who present as culturally conservative, like Palin. Harris just did it from the Democratic ticket. That choice is part of her legacy. What isn't part of her legacy is the end of identity politics. Try as some might to bury the salience of race, class and gender to political life, identity still matters. And it mattered to Harris's campaign. The devil is in how people misunderstand what identity politics is. The common-sense understanding of identity politics is that it is rooted in the shared group identity based on linked oppressions. That link to oppression is key. It is why only minorities are thought to have an 'identity' in identity politics. By that definition, Kamala Harris would have to bleat her horn about breaking glass ceilings. That is what Hillary Clinton infamously did in her nomination acceptance speech in 2016. She also would have gone Jesse Jackson with a rhyme about hope and dope and a rope that overtly draws on the Black
2024110617464	elegiac tradition. That is what then-candidate Barack Obama did in 2008. Given that her Indian American heritage does not have the same kind of resonant political story as women's and Black Americans', if she had leaned into that identity as a key part of her campaign strategy, she would have had to invent one. If you think identity politics means 'performing an identity,' then Harris bucked the progressive habit of leveraging identity politics. Someone looking to build on her campaign's progress might think that Harris lost because she didn't ham up the guns and nationalism enough and bury her identity even deeper. That is wrong and it is racist. And it is also wrong because it is racist. It is racist to believe that racial identity is an affliction that only weak-willed or weak-minded minorities suffer. When we limit identity politics to minorities, we insist that in politics only nonwhite people have racial identities (and to a lesser extent, that only women have gendered identities). If you accept that everyone has a racial identity - which is very hard to refute - then every political individual engages in identity politics. White voters are also identity voters. In fact, they are the most important of all identity-driven voters. It was their votes that Harris had to court. I thought a lot this election season about a book by the political scientist Ashley Jardina, 'White Identity Politics,' published in 2019, that examines how much white racial attitudes are rooted in their white identity politics. Jardina's data supports the theory that white voters feel, and therefore act, in ways that support their view of themselves as white. They are not necessarily prejudiced against minorities. In fact, Jardina argues that the empirical connection between prejudiced views and white identitarianism is pretty weak. A lot of white people don't feel white and yet vote and act in racially prejudiced ways. And some white people feel white, vote from a white identity and do not particularly act in racially prejudiced ways. White identity voters are not located just in conservative areas, like the South. They aren't all Republicans or conservative voters or poor or working class. Jardina is clear that white identity politics has increased across the income, ideological and geographical spectra. Trump's final electoral map picked up new voters, kept his core voters and found new identity voters - Latinos, Black men and immigrants. Harris may not have emphasized her own identity in her campaign but her campaign absolutely emphasized the interests of those white identity voters who may have leaned toward Trump in 2016. Those voters tend to be threatened by, and therefore obsessed with, immigration. This was the source of candidate Harris's hard center-right turn. Time and time again, she put her experience as a prosecutor and an attorney general forward when she talked about securing the border. She embraced American exceptionalism abroad and policing at home. She did not appear to kowtow to the Democratic Party's left wing. Palestinian supporters did not succeed in getting a Palestinian speaker onstage at the Democratic National Convention. She did not utter now-toxic slogans like 'abolish the police.' And she pushed back on those who tried to position her as a 'D.E.I.' candidate. Neoconservatives like Dick Cheney endorsed Harris not only because Trump is so dangerous; on issues like national and domestic security, it's hard to pass a light between her positions and those of a typical conservative. The nation's first Black woman on a national
2024110617465	ticket tapped into the white identity voters' nationalism. She pitched herself to the white identitarian coalition that Trump has played like a fiddle. That is just more of the white identity politics on which American politics were built - and that the Black franchise should always be an indictment of. Obama's coalition feels like an aberration and it is time for us to accept that American politics is identity politics. It is a battle for the identities that will be named and shamed, while others are granted anonymity and power. Playing to the silent white identitarian does not guarantee victory if you aren't a white identity candidate. If we learn anything from Harris's loss, it should be that we must stop sacrificing the power of other identities - their values, their hopes, their security - for a chance that will not pan out. Black women have saved democracy enough times to deserve more than cosmetic diversity. We deserve more than hope and change. We deserve recognition and power. Above all, we deserve better than a post at the head of a sinking ship that reveres the iceberg. All this isn't to say the Harris campaign did not leave a mark. She proved the continuing importance of Black institutional life. The schools and churches and social groups that Black Americans cobbled together from the ashes of white violence and dispossession made her candidacy possible. Wealthy donors make you competitive. But a base makes you viable. Her competitiveness proved that Black culture can still make a powerful base. Kamala Harris would not be the first Black female vice president were it not for Howard University, a historically Black college, and her affiliation with Alpha Kappa Alpha, a Black Greek-letter sorority. Even her political base in California's Bay Area tapped into that area's racial history - the Black migration that built racial enclaves that became microsites of political power. Whether or not Harris's campaign alters the political imagination for Black female electoral power, the institutions she has brought along with her just might. But it won't be today, and it won't be this year. Tressie McMillan Cottom (@tressiemcphd) became a New York Times Opinion columnist in 2022. She is a professor at the University of North Carolina at Chapel Hill School of Information and Library Science, the author of 'Thick: And Other Essays' and a 2020 MacArthur fellow. The Times is committed to publishing a diversity of letters to the editor. We'd like to hear what you think about this or any of our articles. Here are some tips. And here's our email: letters@nytimes.com. Follow the New York Times Opinion section on Facebook, Instagram, TikTok, WhatsApp, X and Threads. Tressie McMillan Cottom (@tressiemcphd) became a New York Times Opinion columnist in 2022. She is a professor at the University of North Carolina at Chapel Hill School of Information and Library Science, the author of 'Thick: And Other Essays' and a 2020 MacArthur fellow. @tressiemcphd Advertisement
2024110623591	Bison who are changing the world to make it a better place right now and for future generations. No matter the outcome of the 2024 presidential election, one thing is certain. Upon her election as vice president of the United States, Kamala Devi Harris became the highest-ranking woman ever in public service. On Harris' journey to history, she has broken barrier after barrier and shattered glass ceilings into millions of pieces. Most recently, she became the first HBCU graduate to ever receive a major presidential nomination. For other institutions, she might represent an anomaly of excellence. At Howard, she is simply a part of our lineage of leadership. Because you went to Howard University, you have a responsibility to keep reaching for that bar and keep serving.' In the expansive temporal tome that is Howard history, Harris occupies plenty of pages; First Black district attorney of San Francisco; First Black and first woman of South Asian descent to become a United States senator from California. The only woman to be part of a winning presidential ticket. Harris has always made it crystal clear that her public service is 'for the people,' meaning all of the people. However, her HBCU roots are dear to her, and she has seized every opportunity to uplift her Alma Mater. After she launched her first run for the presidency in 2019, she held her first press conference at Howard. Throughout her vice presidency, she returned many times to discuss economic empowerment and reproductive rights. She tossed the opening coin at the 2023 Celebration Bowl in Atlanta, during which the Howard Bison took on the Florida A&M Rattlers, and invited Bison athletes to visit her in the Naval Observatory. She came back home to Howard many times during her historic 2024 presidential campaign, using the campus as a place of comfort and renewal. In so many meaningful ways, both high profile and subtle, she has shown her devotion to her Alma Mater and her interest in its continued advancement. Tens of thousands of Bison around the country are extremely proud and grateful. Much of her success can be attributed to her tight embrace of Howard's core principles of truth and service. She reinforced the importance of this principle when talking to Howard graduates at the University's 149th Commencement ceremony in 2017. 'Speaking the truth means you must speak up, and you must speak out, even when you are not asked,' she said. 'Even when it is uncomfortable or inconvenient.' 'The thing that Howard taught me is that you can do any collection of things, and not one thing to the exclusion of the other.' In Fall 1982, Harris made the trek to Washington, D.C., to the hallowed grounds of Howard University. She already certain of who she was - and, seemingly, who she desired to be. In her 2019 memoir 'The Truths We Hold,' Harris delved into her abiding passion for social justice and how that interest -by one of the nation's most iconic attorneys and civil rights icons - influenced her decision to attend Howard University for her postsecondary education. 'I wanted to get off on the right foot,'' Harris wrote. 'And what better place to do that, I thought, than at Thurgood Marshall's alma mater?' Harris pursued political science and economics as her majors and immediately demonstrated both her intellectual curiosity and spirit for service during her years at The Mecca. Her first campaign came as a first-year undergraduate for the Liberal Arts Student Council. She later chaired the Economics Society and became a standout on the University's speech and debate team, refining the
2024110623592	rhetorical skills fundamental to her professional career. Harris also was selected as one of 38 spring 1986 initiates into the Alpha chapter of Alpha Kappa Alpha Sorority, Incorporated, the oldest Black Greek letter organization for women. 'When you're at an HBCU, and especially one with the size and with the history of Howard University - and also in the context of also being in DC, which was known forever as being 'Chocolate City' - it just becomes about you understanding that there is a whole world of people who are like you,' Harris was quoted in a 2019 Washington Post article. 'It's not just about there are a few of us who may find each other.' Harris would also begin to leverage her access to the levers of power stationed in the nation's capital, joining her fellow Bison in anti-apartheid protests at the National Mall and the South African embassy. Ahead of her third year at Howard, Harris interned in the office of California Senator Alan Cranston, a seat to which she herself would ascend three decades later. During her Howard undergraduate career, Harris would also secure internships with the Federal Trade Commission and the Bureau of Engraving and Printing. By Harris' college graduation in 1986, she was primed for a career in the legal field, undergirded by the classroom education and experiential learning opportunities provided to her by Howard University. Soon, she would be making history as an attorney in California, and as a civil servant for the nation. 'The thing that Howard taught me is that you can do any collection of things, and not one thing to the exclusion of the other,' Harris said. 'You could be homecoming queen and valedictorian. There are no false choices at Howard.' Harris' experience on the debate team at Howard no doubt prepared her for the next chapters in her journey. She earned a law degree from the University of California, Hastings College of Law. As a young prosecutor in Alameda County, Calif., she took on tough cases in Berkeley and Oakland in the height of the crack epidemic. She also dealt with child sexual assault. She defeated an incumbent to become the district attorney in San Francisco, the first Black person to do so in the state of California. True to her philosophy of not accepting false choices, Harris focused on aggressively prosecuting criminals but also creating paths to rehabilitation. She helped non-violent criminals get job training and worked to keep young offenders in school. 'In my career, the conventional wisdom was that people are either soft on crime or tough on crime, but I knew we should be smart on crime,' she told the audience at the Howard University's 149th Commencement. She waged a campaign for attorney general promising to be a pragmatic law enforcer, and instituted unprecedent policies to tackle issues. She tackled an alarming trend in truancy by implementing laws which held parents accountable and led to parental prosecutions. She defended the state death penalty law even though she was personally opposed to it. 'She is focused on the end result and the impact she can have on people's lives less than the process,' Brian Brokaw, who managed Harris' state attorney general campaigns, told the BBC. Harris had a full circle moment in 2016 when she was elected to the U.S. Senate to represent California, given that she interned for Senator Alan Cranston as a mailroom clerk as a Howard student. She inherited the seat from the legendary Barbara Boxer. In the Senate, she brought her prosecutorial style to Senate hearings, helping to hold administration officials accountable.
2024110623593	She also advocated for stricter gun control legislation. The Harris and Biden Administration's record includes multi-dynamic initiatives in aspects of American work life, protection against climate change, and economic rebuild after the pandemic. 'There's no question that working people are paying more gas, more groceries and that is why for our administration it is one of our highest priorities to bring down the costs,' Harris told reporter Robert Costa during her Face the Nation with Margaret Brennan appearance on July 10, 2022. This year alone, The Biden-Harris administration signed the Broadband, Equity, Access, and Deployment (BEAD) Program, which proposes $42.45 billion for high-speed internet access and the appropriate infrastructure to hold the bandwidth. Demanding internet for all, the latest BEAD funds have granted 2.4 million homes and small businesses with premium internet access. The Biden-Harris administration's policies include the Inflation Reduction Act which made insulin prices cap at $35 for more than 8 million Americans. The Bipartisan Infrastructure Law also emphasizes improvements in the areas of transportation, environmental, and broadband access. A proud Howard alumna, Harris also zeroed in on expanding the resources, opportunities, and services that HBCUs provide. As of October 9, The Harris-Biden Administration totaled their HBCU federal investments to $17 billion. The administration cited that, though HBCUs make up just 3% of all higher education institutions, HBCUs house 'twice as many Pell grantees from low- and middle-income families.' This rings true for Howard especially, as an estimated 41% of the student body receive federal Pell grants. Their Public Service Loan Forgiveness Program, a student debt relief plan for nearly 5 million Americans was a direct attempt at eradicating America's racial wealth gap. According to the Education Data Initiative, forgiving student debt affects Black college graduates who owe nearly $25,000 more than white college graduates. Harris has also invited HBCU students to The White House. Last February, The Biden-Harris administration hosted their HBCU Celebration Day in the Eisenhower Executive Office Building to close out Black History Month. Student leaders and graduates gathered to discuss policy issues affecting HBCUs along with workforce advice for those graduating in Spring 2024. In 2023, 32 HBCU student journalists were invited to The White House in an intimate question-and-answer session that delved into the importance of their work from the experience of an HBCU education. Keisha Lance Bottoms, the former senior advisor to President Biden and alumna of Florida A&M University, facilitated the event. 'One of the blessings that I realized is [we] have a special responsibility, because you have had the good fortune and blessing of being in an academic environment that, in every way, from the walls that were constructed in your classmates and why they were built, you have the unique ability to know that we are counting on you and you represent the best of who we are,' Harris told the HBCU student journalists. 'We are requiring you to lead because we have learned in [HBCUs] that we stand on broad shoulders. They imagined we'd be having this conversation at the White House.' Harris' seven-stop HBCU Homecoming Tour was another intimate look for HBCU students and gave young Black voters an opportunity to understand her campaign up-close. Howard University 100th Homecoming anniversary celebration was slated for the opportunity, however, instead of an in-person appearance,
2024110623594	Harris wrote an exclusive letter to The Hilltop. 'At Howard, we learn that we have the capacity to be great and also that we have the responsibility to work hard to live up to that potential each day,' Harris wrote to Howardites. 'We know more needs to be done, and we look forward to continuing to work alongside you as we build a brighter future for all.' As Harris eyed American history as the first Black woman and South Asian woman to become president, the first president to hail from an HBCU, she returned to Alma Mater to begin a new chapter. The Harris-Walz campaign decided on The Yard as their final stop of relentless campaigning to convince voters that Harris, once a Bison with just a vision and self-belief , could etch a new chapter of American history. 'The first office I ever ran for was freshman class representative at Howard University,' Harris told V-103 Radio Station the morning of the election. 'To go back tonight to Howard, my beloved alma mater, and be able to hopefully...recognize this day for what it is, it's full circle for me.' An age-old mantra says that Black people have to be twice as good to get half as far. At no time was that adage on fuller display than during the 2024 presidential cycle, when Harris was called upon to stand up a presidential campaign in the shortest amount of time any major party candidate has ever attempted. But Harris proved she was up to this task, and she and other Bison will continue to elevate humanity through their extraordinary competence and commitment. She put it best in her 2017 Commencement speech. 'Because you are a Howard graduate, the bar is high,' she said, 'Which means you must be on the front line. You must be the first to raise your hand. You must be at the front of the line. You must lead. The bar can sometimes feel so high. It takes so much time and effort to reach it. So much sweat and so many tears. Being human, we sometimes fall short. That is ok. Because you went to Howard University, you have a responsibility to keep reaching for that bar and keep serving.' Our public relations team can connect you with faculty experts and answer questions about Howard University news and events. Office of University Communications 1851 9th Street NW, 4th Floor, Washington, DC 20059 Phone: 202.806.2509 Fax: 202.238.2340 2024 Howard University. All Rights Reserved.
2024110701111	The Democrat congratulated her Republican rival during a phone call and offered to help with peaceful transfer of power. Vice President Kamala Harris has sought to reassure her supporters that, while they did not win the United States presidential election this year, the fight is far from over. 'The outcome of the election is not what we wanted, not what we fought for, not what we voted for,' she said in a concession speech to a crowd of students and supporters at Howard University in Washington, DC, her alma mater. 'Hear me when I say the light of America's promise will always burn bright as long as we never give up and as long as we keep fighting.' Her address on Wednesday afternoon was the first time Harris had spoken to her supporters since Republican candidate Donald Trump won the race. Many had waited outside in tears on the university grounds on Tuesday night as the election unfolded. But an expected late-night speech never materialised: Her campaign director emerged to tell them that Harris was going to wait until more results came in. By early Wednesday, the race had been called for Trump, who passed the threshold of 270 Electoral College votes needed to win the presidency. The mood on Wednesday afternoon was decidedly more upbeat when Harris spoke, with huge cheers and screams emanating from the crowd. 'I know folks have a range of emotions, I get it,' Harris said with a laugh. 'I spoke with Trump and congratulated him and told him we will help him with the transition and engage with a peaceful transfer of power.' Harris then made a pointed dig at Trump who campaigned on his refusal to concede that he lost the 2020 presidential election to President Joe Biden. 'It's a fundamental principle of a democracy that when we lose an election, we accept the result,' she said. But Harris added that did not mean she was giving up. 'While I concede this election I don't not concede the fight that fuelled this campaign,' she said. 'To the young people, it is OK to feel sad and disappointed. Please know it will be OK.' She added: 'On the campaign, we say when we fight we win, sometimes the fight takes a while . It doesn't mean we won't win.' Harris ended her speech by thanking her husband Doug Emhoff for his support. 'I know many people feel like we are entering a dark time, but for the benefit of all of us, I hope that is not the case,' she said. Harris, 60, began campaigning after Biden stepped out of the race after stumbling badly in a June presidential debate with Trump. His performance sparked concerns about his ability to serve until the end of a second term in 2029, when he would be 86. Biden dropped out of the race on July 21 and endorsed his vice president. Harris quickly took over the Democratic campaign. She was seen among many Democrats as a potential saviour for her party: the first Black woman and the first person of South Asian descent who could reach the Oval Office. Four years ago, she broke the same barriers for the vice presidency by becoming Biden's second in command. Harris ran an energetic campaign focused on moving away from Trump's dark message of economic ruin and immigrants flooding the country. A key element of her platform was her advocacy for women's reproductive freedom, a rallying cry that resonated with many young voters who flocked to her rallies. The 2024 race was the first presidential campaign since the US Supreme Court struck down constitutional protection for abortion rights two years prior, in June 2022. The Harris campaign had hoped for a surge of support from women. But it wasn't enough to
2024110701112	overcome the deep anger among US voters over high inflation, the cost of basic necessities such as food and housing, and worries about undocumented immigration, according to exit polls. Trump's promise to return to a 'golden age of America' saw the key battleground states move decisively away from the Democrats. He is due to take office on January 20, 2025, returning to power as the 47th US president four years after refusing to accept defeat to President Joe Biden. As the sitting vice president, Harris is expected to oversee Congress's ceremonial certification of Trump's win. Biden has also said he will attend the inauguration, unlike Trump in 2021 who snubbed his successor. Follow Al Jazeera English:
2024110623441	Copyright 2024 The Associated Press. All Rights Reserved. Harris tells supporters she had lost the race against Trump, conceding that the Republican president is now empowered by a sweeping mandate. 'The outcome of this election is not what we wanted, not what we fought for, not what we voted for,' she said. Democratic nominee Kamala Harris conceded the presidential election to Republican Donald Trump Wednesday in a speech at her alma mater, Howard University. She addressed her young supporters, urging them to 'never give up' trying to make the world better Vice President Kamala Harris delivers a concession speech after the 2024 presidential election, Wednesday, Nov. 6, 2024, on the campus of Howard University in Washington. (AP Photo/Jacquelyn Martin) Supporters react as Vice President Kamala Harris delivers a concession speech after the 2024 presidential election, Wednesday, Nov. 6, 2024, on the campus of Howard University in Washington. (AP Photo/Jacquelyn Martin) Vice President Kamala Harris delivers a concession speech for the 2024 presidential election on the campus of Howard University in Washington, Wednesday, Nov. 6, 2024. (AP Photo/Ben Curtis) Supporters listens as Vice President Kamala Harris delivers a concession speech after the 2024 presidential election, Wednesday, Nov. 6, 2024, on the campus of Howard University in Washington. (AP Photo/Jacquelyn Martin) Second gentleman Doug Emhoff, right, walks with Vice President Kamala Harris as she departs after delivering a concession speech for the 2024 presidential election on the campus of Howard University in Washington, Wednesday, Nov. 6, 2024. (AP Photo/J. Scott Applewhite) Vice President Kamala Harris delivers a concession speech for the 2024 presidential election on the campus of Howard University in Washington, Wednesday, Nov. 6, 2024. (AP Photo/Ben Curtis) Supporters arrive before Vice President Kamala Harris delivers a concession speech after the 2024 presidential election, Wednesday, Nov. 6, 2024, on the campus of Howard University in Washington. (AP Photo/Susan Walsh) Supporters of Vice President Kamala Harris wait for her to deliver a concession speech for the 2024 presidential election, Wednesday, Nov. 6, 2024, on the campus of Howard University in Washington. (AP Photo/Stephanie Scarbrough) Minnesota Gov. Tim Walz waves as he arrives ahead of Vice President Kamala Harris delivering a concession speech for the 2024 presidential election, Wednesday, Nov. 6, 2024, on the campus of Howard University in Washington. (AP Photo/Stephanie Scarbrough) Supporters watch as results come in at an election night campaign watch party for Democratic presidential nominee Vice President Kamala Harris, Tuesday, Nov. 5, 2024, on the campus of Howard University in Washington. (AP Photo/Susan Walsh) Follow live: Updates from AP's coverage of the presidential election. WASHINGTON (AP) - Faced with a sweeping rejection by American voters, Kamala Harris conceded the presidential election to Donald Trump on Wednesday and encouraged supporters to continue fighting for their vision of the country. The Democratic vice president said the battle would continue 'in the voting booth, in the courts and in the public square.' 'Sometimes the fight takes a while,' she said at Howard University, her alma mater, where she had hoped to make a victory speech after the election. 'That doesn't mean we won't win.' Harris' decisive defeat shattered hopes that she could rescue Democrats' chances after President Joe Biden's reelection effort stalled and she replaced him at the top of the ticket. She trailed in
2024110623442	every battleground state to Trump, a Republican whom she described as an existential danger to the country's foundational institutions. And Trump appeared on track to win the popular vote for the first time in his three campaigns for the White House - even after two impeachments, felony convictions and his attempt to overturn his previous election loss. Despite her stark warnings about Trump, Harris reached for optimism on Wednesday. 'It is OK to feel sad and disappointed, but please know it's going to be OK,' she told supporters as some of them wiped tears from their eyes. Biden released a statement praising Harris after her speech, saying: 'She will continue the fight with purpose, determination, and joy. She will continue to be a champion for all Americans. Above all, she will continue to be a leader our children will look up to for generations to come as she puts her stamp on America's future.' Minnesota Gov. Tim Walz, Harris' running mate, was in the audience with his family. So were Reps. Nancy Pelosi, the former House speaker, and Barbara Lee, both from Harris' home state of California. What to know about the 2024 election: News outlets globally count on the AP for accurate U.S. election results. Since 1848, the AP has been calling races up and down the ballot. Support us. Donate to the AP. Before her speech, Harris called Trump to congratulate him on his victory. She told the crowd that 'we will engage in a peaceful transfer of power,' an implicit reference to Trump's unwillingness to do the same four years ago. Some in the audience expressed disappointment that Harris was not able to make history as the country's first Black female president. Harris would also have been first U.S. president of South Asian descent Gregory Pate, 38, said he appreciated that Harris said she was 'committed to the fight and not looking at this as a permanent defeat, but just another obstacle that we have to go through as Black people.' 'I think it was perfect. I think that it was timely, and it was a message that I came to hear,' said Pate, of Fairfax, Virginia. Democratic presidential nominee Vice President Kamala Harris, left, speaks with Ike Irby, senior advisor to the vice president, and Kirsten Allen, communications director to the vice president, shortly before taking the stage for Harris' final campaign rally, Monday, Nov. 4, 2024, in Philadelphia. (AP Photo/Jacquelyn Martin) Jay Evans, of Greenbelt, Maryland, said after Harris' spoke that he's wistful for what could have been. 'We're partly sad, because hearing her speak, she would have been an amazing person to bring the country together and to keep us in a better path,' Evans said. After Trump lost to Biden, he directed his supporters to march on the U.S. Capitol, leading to a violent insurrection that interrupted the ceremonial certification of the election results. Now Harris is expected to oversee the same certification process to finalize Trump's victory as voters brush off concerns about the future of American democracy and return the former Republican president to the White House. Biden plans to address the election results on Thursday. The White House said he spoke with Harris and Trump on Wednesday, and he invited the president-elect to meet with him soon. David Plouffe, a top Harris adviser, said campaign staffers 'left it all on the field for their country.' 'We dug out of a deep hole but not enough,' he said. 'A devastating loss.' Harris became the Democratic candidate after Biden, who was already struggling to convince voters that he could serve as president until he was 86
2024110623443	years old, stumbled badly in his June 27 debate with Trump. He dropped out of the race on July 21 and endorsed his vice president, who swiftly unified the Democratic Party around her candidacy. It was a remarkable twist of fate for Harris. Four years earlier, her own presidential campaign had flamed out and revealed the political limitations of someone once dubbed 'the female Barack Obama.' Even though Biden chose Harris as his running mate, she languished in the role after taking office as the first woman, Black person or person of South Asian descent to serve as vice president. Some Democrats started writing her off when they pondered the party's future after Biden. But Harris found fresh purpose after the U.S. Supreme Court overturned Roe v. Wade in 2022, and she became the White House's leading advocate for abortion rights. Harris also made a more concerted effort to network with local politicians, business leaders and cultural figures, forging connections that could serve her down the road. The moment arrived sooner than she anticipated, and she was catapulted into the presidential race with Biden's departure only a month before the Democratic National Convention. Harris instantly reset the terms of the contest with Trump. She was 18 years younger and a former courtroom prosecutor going up against the first major presidential candidate convicted of crimes. Her candidacy energized Democrats who feared they were destined for defeat with Biden at the top of the ticket. But she also faced steep odds from the beginning. She inherited Biden's political operation with just 107 days until the end of the election, and she faced a restless electorate that was eager for change. Although Harris pitched 'a new way forward,' she struggled to meaningfully differentiate herself from the unpopular sitting president. In addition, she had limited time to introduce herself to skeptical voters, who never cast a ballot for her in a presidential primary. Democrats now face the prospect of picking up the pieces during a second Trump presidency, and it's unclear what role Harris will play in her party's future. 'The work of protecting America from the impacts of a Trump Presidency starts now,' wrote Jen O'Malley Dillon, Harris' campaign chair, in a letter to staff. 'I know the Vice President isn't finished in this fight, and I know the very people on this email are also going to be leaders in this collective mission.' Copyright 2024 The Associated Press. All Rights Reserved. These tracking technologies (such as cookies) are needed for our web site to function and are always active. These tracking technologies (such as cookies) enable our site to provide enhanced functionality and personalization. These technologies may be set by us or our third-party service providers whose services we have added to our site. If you choose not to allow these technologies, some services on our site may not function properly and may impact your user experience. These tracking technologies (such as cookies) allow us to measure the overall performance of our site through analytics, such as visit counting and traffic sourcing. For example, these technologies help us learn which areas of our site are the most and least popular so we can provide users with better experiences. If you choose not to allow these technologies, we will not know where you visited on our site, and your visit will not be reflected in our performance monitoring. These tracking technologies (such as cookies) may be set by us or third parties with whom we have business relationships, such as advertising
2024110623444	partners, who may use information they obtain to show you relevant ads on this and other sites. If you choose not to allow these technologies, you will experience less targeted advertising, but you will continue to see ads that may be less relevant or based only on information that we collect directly from your use of our site.
2024110710441	As the dust settled on the 2024 election, Vice President Kamala Harris officially conceded the race to President-elect Donald Trump yesterday. Despite her attempts to make history as the first female president, Harris was unsuccessful in denying Trump a second term, and announced the end of her campaign in Washington, D.C. Judgments on why and how Harris lost are already being issued, with blame being laid on figures in the campaign, President Joe Biden, and even the voters themselves. Newsweek contacted a representative of the Harris campaign for comment on this story via email. Looking for a new perspective, Newsweek asked artificial intelligence chatbot ChatGPT what it thought happened on Election Day, using the prompt: 'Explain why Vice President Kamala Harris lost the 2024 Election to former President Donald Trump. 'Give reasons for your answer, with reference to the Electoral College, turnout, the 2024 election campaign, the strengths and weaknesses of each candidate, and the issues that were most relevant to voters.' ChatGPT responded: 'Vice President Kamala Harris' loss to former President Donald Trump in the 2024 U.S. presidential election can be attributed to several key factors. 'Trump secured victory by flipping critical swing states that he had lost in 2020, notably Pennsylvania, Georgia, and Wisconsin. These states provided the necessary electoral votes to surpass the 270-vote threshold required for the presidency. His success in these battlegrounds was pivotal, as they were instrumental in determining the election outcome. 'The election witnessed high voter turnout across the nation. Trump's campaign effectively mobilized his base, particularly in rural and working-class areas, leading to increased participation among these demographics. Conversely, Harris struggled to generate comparable enthusiasm among key Democratic constituencies, including younger voters and certain minority groups, resulting in lower turnout in critical regions. 'Trump's campaign capitalized on economic concerns, emphasizing issues like inflation and immigration, which resonated with many voters. He also expanded his appeal to minority voters, notably among Latino and Black communities, which contributed to his broader coalition. 'In contrast, Harris's campaign faced challenges in clearly differentiating her platform from the previous administration's policies, leading to perceptions of continuity rather than change. Additionally, her messaging on economic policies did not sufficiently address the pressing concerns of working-class voters.' The chatbot also highlighted Trump's struggle with legal battles throughout the race, saying: 'Despite facing legal challenges and controversies, Trump demonstrated resilience and maintained a strong connection with his base. His messaging on economic issues and border security appealed to a broad spectrum of voters, including some who had previously supported Democratic candidates. 'As the first woman of color to lead a major party ticket, Harris's candidacy was historic. However, she faced difficulties in connecting with working-class voters and articulating a distinct vision separate from the Biden administration. Her campaign also struggled to effectively counter misinformation and address concerns about economic policies, which undermined her appeal in key demographics.' Do you have a story we should be covering? Do you have any questions about the election results? Contact LiveNews@newsweek.com. Newsweek is committed to journalism that's factual and fair. Hold us accountable and submit your rating of
2024110710442	this article on the meter. Newsweek is committed to journalism that's factual and fair. Hold us accountable and submit your rating of this article on the meter. Theo Burman is a Newsweek Live News Reporter based in London, U.K. His focus is on U.S. politics and international news, as well as the impact of digital culture on elections. He has covered electoral and cultural issues extensively in the U.S. and the U.K., along with high-profile legal cases such as the trials of Andrew Tate and Donald Trump. Theo joined Newsweek in 2024 and has previously written for Dexerto, PinkNews, and News UK. He is a graduate of Durham University and News Associates. You can get in touch with Theo by emailing t.burman@newsweek.com. Languages: English. Theo Burman is a Newsweek Live News Reporter based in London, U.K. His focus is on U.S. politics and international ... Read more Newsletters in your inbox See all Company Editions: Contact Terms of Use 2024 NEWSWEEK DIGITAL LLC
